customer_id,geography_id,customer_name,birthdate,maritalstatus,gender,datefirstpurchase
11065,331,Jessica Henderson,1993-10-09,M,F,2018-08-14
11066,543,Grace Butler,1993-11-27,M,F,2018-12-02
11068,40,Tiffany Liang,1975-09-23,S,F,2018-11-01
11069,23,Carolyn Navarro,1975-09-21,S,F,2016-10-18
11070,39,Willie Raji,1975-04-05,M,M,2016-10-29
11071,24,Linda Serrano,1975-06-26,S,F,2018-09-02
11072,17,Casey Luo,1975-02-06,S,F,2016-10-01
11073,16,Amy Ye,1976-08-14,S,F,2018-09-24
11074,28,Levi Arun,1976-08-28,S,M,2018-09-24
11075,32,Felicia Jimenez,1977-11-16,S,F,2016-10-29
11076,19,Blake Anderson,1977-07-13,S,M,2016-10-22
11077,36,Leah Ye,1977-09-19,S,F,2016-10-16
11078,49,Gina Martin,1994-01-10,S,F,2018-08-19
11079,34,Donald Gonzalez,1979-03-11,S,M,2018-09-16
11080,30,Damien Chander,1979-07-17,M,M,2016-10-11
11081,311,Savannah Baker,1986-07-24,M,F,2018-08-16
11082,322,Angela Butler,1986-08-04,S,F,2018-07-26
11083,336,Alyssa Cox,1986-03-15,M,F,2018-07-10
11084,543,Lucas Phillips,1977-09-12,S,M,2018-07-08
11087,307,Tamara Liang,1977-10-03,M,F,2018-08-29
11088,359,Hunter Davis,1977-11-25,M,M,2018-07-17
11089,337,Abigail Price,1977-02-05,S,F,2018-07-02
11090,338,Trevor Bryant,1977-12-17,S,M,2017-02-07
11091,50,Dalton Perez,1977-04-04,M,M,2018-08-02
11092,22,Cheryl Diaz,1987-05-06,M,F,2016-10-09
11093,19,Aimee He,1987-09-10,M,F,2016-10-08
11094,33,Cedric Ma,1982-04-01,S,M,2018-10-09
11095,13,Chad Kumar,1982-09-01,S,M,2016-10-02
11096,12,Andrés Anand,1982-08-10,M,M,2016-10-12
11097,40,Edwin Nara,1981-10-27,M,M,2016-10-05
11098,14,Mallory Rubio,1981-05-01,S,F,2018-08-15
11099,13,Adam Ross,1981-03-08,M,M,2016-10-08
11100,28,Latasha Navarro,1980-09-15,S,F,2016-10-17
11101,33,Abby Sai,1985-05-08,S,F,2016-10-30
11103,3,Cassie Chande,1984-10-17,S,F,2016-10-16
11104,23,Edgar Sara,1984-03-11,M,M,2016-11-04
11105,8,Candace Fernandez,1984-12-28,S,F,2016-11-14
11106,40,Jessie Liu,1984-09-11,S,M,2016-11-18
11107,17,Bianca Lin,1979-09-09,M,F,2016-11-01
11108,13,Kari Alvarez,1983-07-14,S,F,2016-11-03
11109,38,Ruben Kapoor,1983-11-05,S,M,2016-11-10
11110,3,Curtis Yang,1982-06-06,M,M,2016-11-01
11111,34,Meredith Gutierrez,1982-02-23,M,F,2016-11-20
11112,25,Crystal Wang,1982-09-09,M,F,2016-11-25
11113,30,Micheal Blanco,1982-02-21,M,M,2018-08-05
11114,14,Leslie Moreno,1982-05-28,S,F,2018-09-19
11115,17,Alvin Cai,1982-02-12,M,M,2018-08-14
11116,18,Clinton Carlson,1982-10-07,M,M,2018-09-16
11117,8,April Deng,1981-02-21,M,F,2016-11-06
11119,13,Evan James,1955-04-10,S,M,2018-08-07
11120,18,Beth Jiménez,1956-08-09,S,F,2016-11-14
11121,10,Orlando Suarez,1980-11-18,M,M,2018-12-26
11122,12,Byron Vazquez,1980-04-02,M,M,2018-08-25
11123,39,Philip Alvarez,1980-06-20,M,M,2018-10-19
11124,40,Ross Jordan,1977-07-27,S,M,2016-11-05
11125,37,Dana Navarro,1976-04-08,S,F,2018-08-04
11126,11,Shaun Carson,1969-04-07,M,M,2016-11-28
11127,361,Jan Edwards,1995-10-21,M,F,2018-10-12
11128,635,Samantha Long,1995-12-05,M,F,2018-12-21
11129,638,Julia Wright,1995-08-05,S,F,2017-02-06
11132,51,Melissa Richardson,2000-10-26,S,F,2018-10-11
11134,30,Larry Townsend,1966-02-26,S,M,2016-11-03
11135,302,Marcus Harris,1999-11-03,S,M,2018-10-20
11136,53,Brianna Morgan,1998-10-26,S,F,2018-07-07
11140,301,Javier Alvarez,1997-02-11,S,M,2018-09-20
11141,314,Nicole Ramirez,1997-06-21,M,F,2018-11-17
11142,51,Eduardo Patterson,1997-08-14,S,M,2018-08-17
11143,334,Jonathan Henderson,1997-02-04,M,M,2018-12-17
11144,607,Edward Hernandez,1999-09-09,S,M,2018-07-29
11145,536,Jasmine Coleman,1999-12-08,S,F,2018-07-29
11146,8,Karla Goel,1959-08-26,S,F,2018-08-09
11147,40,Ernest Wu,1959-02-05,M,M,2016-11-13
11148,22,Ross Vazquez,1961-08-16,M,M,2018-09-08
11149,25,Theodore Gill,1961-04-20,M,M,2018-12-06
11150,39,Russell Shen,1961-03-15,S,M,2018-09-28
11151,18,Melinda Gill,1962-02-25,S,F,2016-11-15
11152,633,James Williams,1996-01-10,S,M,2018-07-13
11153,635,Angela James,1996-06-23,M,F,2018-09-30
11154,553,Megan Walker,1996-08-21,S,F,2018-07-14
11155,301,Hunter Robinson,1996-01-26,S,M,2018-07-10
11156,334,Maria Roberts,1996-02-07,S,F,2018-07-12
11158,361,Jason Wright,1995-10-08,S,M,2018-07-23
11160,311,Maurice Tang,1994-01-08,S,M,2018-08-25
11161,311,Emily Wood,1994-04-22,S,F,2018-12-03
11162,331,Chase Cox,1994-03-05,S,M,2018-08-22
11163,372,Gabriel Wang,1994-12-20,M,M,2018-11-02
11164,374,Devin Brooks,1994-05-05,S,M,2018-10-29
11165,348,Jocelyn Alexander,1993-07-18,M,F,2018-11-26
11167,618,Jasmine Barnes,1992-08-01,S,F,2018-07-11
11168,348,David Rodriguez,1988-05-15,S,M,2018-07-19
11169,312,Bryce Richardson,1988-06-22,M,M,2018-11-27
11171,385,Jonathan Hill,1987-10-09,S,M,2017-02-20
11172,626,Gabrielle Adams,1987-11-21,M,F,2018-11-04
11173,552,Sarah Thomas,1987-09-01,S,F,2018-09-03
11175,300,Luis Wang,1983-03-05,S,M,2017-02-28
11176,50,Mason Roberts,1988-01-25,M,M,2018-08-06
11177,359,Jose Flores,1962-07-04,M,M,2018-09-30
11178,334,Nathan Johnson,1963-08-24,M,M,2018-08-25
11179,300,Molly Rodriguez,1963-06-14,M,F,2018-09-13
11180,307,April Anand,1963-01-02,M,F,2018-09-18
11181,338,Devin Martin,1963-08-08,M,M,2018-11-08
11183,368,Jasmine Lee,1964-07-15,S,F,2018-11-01
11185,53,Ashley Henderson,1964-10-08,S,F,2018-08-25
11187,612,Jennifer Cooper,1964-02-22,M,F,2018-10-05
11189,609,Lawrence Blanco,1964-07-15,S,M,2017-02-26
11191,310,Kristi Perez,1965-12-18,S,F,2017-02-11
11192,637,James Brown,1965-09-13,M,M,2018-12-25
11193,553,Ian Gray,1965-02-13,M,M,2018-08-29
11194,352,Jacqueline Price,1965-06-10,M,F,2018-09-14
11195,635,Megan Henderson,1966-02-10,M,F,2018-10-16
11196,536,Alfredo Romero,1966-06-07,M,M,2018-09-04
11197,637,Andrea Morris,1966-06-18,M,F,2018-11-03
11198,368,Brooke Sanders,1966-11-26,S,F,2018-08-09
11199,302,Jacqueline Bennett,1966-11-06,M,F,2018-09-19
11200,69,Jason Griffin,1967-11-22,M,M,2018-08-11
11203,60,Luis Diaz,1968-08-21,M,M,2018-08-24
11206,626,Blake Flores,1968-09-24,M,M,2018-11-12
11207,635,Danielle Cox,1968-07-19,S,F,2018-08-04
11208,325,Maria Reed,1968-02-04,M,F,2018-09-05
11209,336,Allison Evans,1968-01-13,M,F,2018-09-26
11210,383,Edward Wood,1968-06-08,M,M,2018-11-07
11211,50,Samantha Russell,1969-10-12,M,F,2018-08-05
11212,53,Chloe Campbell,1969-11-05,M,F,2018-08-03
11213,614,Stephanie Murphy,1969-05-14,S,F,2018-09-29
11215,62,Ana Perry,1970-06-21,M,F,2018-08-19
11216,547,Jasmine Torres,1970-05-20,S,F,2017-02-15
11217,547,Natalie Adams,1970-02-11,S,F,2017-02-10
11218,642,Olivia Brown,1970-09-11,S,F,2018-09-01
11220,310,Erica Huang,1970-02-23,M,F,2018-09-15
11221,334,Nathan Perry,1970-06-10,M,M,2018-10-09
11223,52,Hailey Patterson,1971-09-16,S,F,2018-08-02
11224,612,Tiffany Li,1971-09-06,S,F,2017-02-07
11225,635,Madison Lee,1971-02-16,M,F,2018-12-24
11226,552,Sydney Ross,1971-09-27,M,F,2018-08-25
11227,310,Marshall Chavez,1971-08-12,S,M,2017-02-03
11231,611,Dennis Zhang,1972-11-14,M,M,2018-08-14
11233,299,Todd Li,1972-09-09,M,M,2018-08-12
11234,337,Anna Griffin,1972-11-19,S,F,2018-08-12
11237,161,Clarence Anand,1978-09-23,S,M,2017-03-08
11238,232,Mayra Prasad,1978-08-10,S,F,2016-07-09
11239,249,Latoya Goel,1978-10-06,M,F,2016-07-22
11240,273,Anne Hernandez,1978-12-11,M,F,2016-08-30
11241,211,Lisa Cai,1977-10-11,S,F,2018-03-14
11242,209,Larry Munoz,1977-11-11,M,M,2018-03-23
11243,237,Robin Alvarez,1977-10-09,M,F,2016-08-24
11244,267,Alexis Coleman,1977-11-26,S,F,2016-08-15
11245,132,Ricky Vazquez,1976-10-27,M,M,2017-03-29
11246,147,Latasha Rubio,1976-10-09,M,F,2017-04-05
11247,242,Claudia Zhou,1976-06-06,S,F,2016-08-21
11249,178,Cindy Patel,1975-07-13,M,F,2017-04-11
11250,276,Shannon Liu,1975-03-12,M,F,2016-09-17
11252,335,Nicholas Thompson,1952-06-07,S,M,2017-02-14
11253,69,José Hernandez,1953-02-28,M,M,2018-09-02
11255,612,Colin Lin,1953-04-04,M,M,2018-08-27
11256,626,Katelyn Hernandez,1953-09-20,M,F,2018-10-17
11257,345,Jacqueline Powell,1953-01-06,S,F,2017-02-24
11258,352,Xavier Hill,1953-06-28,M,M,2018-11-22
11259,548,Victoria Stewart,1985-03-27,M,F,2017-03-07
11260,302,Katelyn Kelly,1985-04-12,M,F,2018-08-09
11261,359,Stephanie Collins,1985-04-24,M,F,2017-03-30
11262,60,Jennifer Simmons,1984-05-04,M,F,2018-08-31
11263,612,Trinity Richardson,1984-09-11,M,F,2017-03-01
11264,618,Eduardo Martin,1984-06-17,S,M,2018-07-06
11265,623,Elizabeth Jones,1984-07-13,M,F,2018-07-07
11266,632,Taylor Howard,1984-05-05,S,F,2017-03-13
11267,302,David Diaz,1984-10-02,S,M,2017-03-20
11268,312,Katelyn Carter,1984-05-03,M,F,2018-11-30
11270,334,Robert Lee,1984-05-04,M,M,2017-03-13
11271,360,Danielle Reed,1984-06-05,S,F,2017-03-30
11272,300,Lauren Martinez,1976-11-10,S,F,2017-03-22
11273,331,Nathan Lal,1976-10-01,M,M,2018-11-15
11274,609,Kyle Foster,1954-04-12,M,M,2017-03-01
11275,310,Jenny Rai,1954-01-18,M,F,2017-03-02
11276,49,Nancy Chapman,1983-09-19,M,F,2018-08-02
11277,62,Charles Jackson,1983-06-10,M,M,2018-08-06
11278,614,Jonathan Phillips,1983-08-20,S,M,2017-03-19
11279,616,Amanda Cook,1983-09-12,M,F,2018-09-04
11280,626,Robert Collins,1983-08-21,M,M,2019-01-02
11281,301,Megan Barnes,1983-10-10,S,F,2017-03-16
11282,612,Christian Thomas,1982-01-16,M,M,2017-03-03
11283,299,Arturo Lal,1982-10-26,M,M,2018-11-30
11284,307,Theresa Serrano,1982-03-27,M,F,2018-08-10
11286,374,Hunter Griffin,1982-03-03,M,M,2017-03-24
11287,49,Henry Garcia,1981-01-16,M,M,2018-08-02
11288,301,Cindy Sanchez,1981-09-16,M,F,2018-09-06
11289,315,Maria Carter,1981-03-07,M,F,2017-03-11
11290,334,Katelyn Sanchez,1981-08-18,M,F,2017-03-23
11291,335,Jenna Wright,1981-05-05,M,F,2017-03-07
11292,361,Seth Phillips,1981-11-05,S,M,2017-03-18
11293,632,Luke Long,1975-05-27,S,M,2018-08-28
11295,311,Taylor Lewis,1974-05-16,S,F,2017-03-28
11296,616,Haley Richardson,1955-10-07,S,F,2017-03-04
11297,301,Noah Coleman,1955-02-02,S,M,2017-03-29
11298,307,Jon Luo,1955-03-03,M,M,2017-03-15
11299,301,Orlando Vazquez,1956-04-01,M,M,2017-03-29
11300,54,Fernando Barnes,1980-03-03,M,M,2018-08-04
11301,607,Cameron Rodriguez,1980-06-09,M,M,2018-12-11
11302,539,Spencer Russell,1980-12-12,S,M,2017-03-09
11303,614,Julia Coleman,1980-10-11,S,F,2017-03-05
11304,547,Julia Garcia,1980-03-17,M,F,2018-09-21
11305,307,Sean Evans,1980-06-19,M,M,2018-09-26
11306,312,Micah Zhou,1980-06-22,M,M,2019-01-01
11307,314,Hunter Rodriguez,1974-11-04,M,M,2017-03-07
11311,626,Gabrielle Lopez,1973-08-24,S,F,2018-10-20
11312,626,Sara Richardson,1973-04-03,S,F,2018-11-18
11313,632,Trevor Jenkins,1973-02-27,S,M,2018-11-08
11314,618,Mya Flores,1973-12-21,S,F,2018-08-29
11315,632,Hailey Ward,1973-10-01,S,F,2018-11-21
11316,51,Luke Allen,1973-11-17,M,M,2018-07-16
11317,548,Victoria Russell,1972-09-17,S,F,2017-03-04
11319,348,Jade Bailey,1957-04-27,M,F,2017-03-12
11320,325,Morgan Hill,1957-06-26,M,F,2018-12-17
11321,612,Terrance Raman,1958-07-08,M,M,2018-08-27
11322,611,Sydney Garcia,1958-03-15,M,F,2018-09-25
11323,314,Jose Patterson,1958-06-20,S,M,2017-03-13
11324,325,Zachary Anderson,1959-05-14,M,M,2017-03-29
11325,637,Elijah Ross,1959-07-02,S,M,2017-03-22
11326,300,Rafael Xie,1959-06-26,M,M,2017-03-18
11327,301,Jaime Moreno,1960-03-04,M,M,2017-03-29
11328,55,Julian Griffin,1960-01-01,M,M,2018-07-09
11329,311,Andy Alvarez,1960-07-25,S,M,2017-03-28
11330,59,Ryan Thompson,1960-05-13,M,M,2018-08-16
11331,63,Samantha Jenkins,1988-07-06,M,F,2018-08-11
11332,153,Deanna Ramos,1982-10-04,S,F,2017-04-17
11333,261,Emily Miller,1982-07-10,M,F,2016-09-21
11334,269,Nicole Brown,1981-03-22,M,F,2016-09-04
11335,120,Carla Raman,1981-06-24,M,F,2017-04-25
11336,204,Shaun Raji,1982-03-12,M,M,2018-03-31
11337,273,Jerome Romero,1981-09-21,M,M,2016-09-09
11338,154,Frank Navarro,1981-08-10,M,M,2017-04-13
11339,202,Dennis She,1981-07-08,S,M,2018-04-10
11340,192,Melody Munoz,1956-04-06,M,F,2018-04-30
11341,236,Randy Zeng,1956-08-21,M,M,2016-10-12
11343,264,Arthur Carlson,1978-09-13,M,M,2016-10-05
11344,262,Jessie Jimenez,1977-07-24,M,F,2016-11-13
11345,224,Robin Ramos,1977-03-12,S,F,2018-04-25
11346,196,Deanna Gutierrez,1975-05-22,S,F,2018-04-04
11347,156,Roy Navarro,1975-12-23,M,M,2018-09-17
11348,151,Shawn Rai,1975-09-22,M,M,2018-10-02
11350,265,Cara Zhou,1957-01-14,M,F,2018-08-09
11351,253,Anne Ramos,1959-04-06,S,F,2016-12-13
11352,222,Raymond Rodriguez,1960-03-07,M,M,2018-11-02
11353,271,Carrie Ortega,1961-06-11,S,F,2016-12-13
11356,6,Terrence Carson,2000-05-27,S,M,2016-11-10
11357,21,Ramon Ye,1999-03-23,S,M,2016-12-19
11358,2,Cynthia Malhotra,1998-11-11,S,F,2016-12-29
11359,7,Jarrod Prasad,1998-09-04,S,M,2016-12-14
11360,26,Tyrone Serrano,1998-08-02,S,M,2016-12-28
11362,33,Damien Shan,1997-11-11,M,M,2018-09-30
11363,35,Julian Ross,1997-10-20,S,M,2016-12-09
11364,34,Jennifer Collins,1999-09-23,S,F,2016-12-08
11365,29,Brittney Sun,1999-06-09,S,F,2016-12-01
11366,37,Virginia Patel,1999-10-25,M,F,2018-12-26
11368,26,Edward Miller,1998-11-25,S,M,2016-12-25
11372,20,Wendy Romero,1998-05-15,S,F,2016-12-08
11374,162,Jimmy Ortega,1963-06-28,S,M,2018-10-17
11377,161,David Robinett,1981-02-23,M,M,2018-09-01
11378,184,Shannon Liang,1980-05-22,S,F,2018-04-20
11379,214,Gary Vazquez,1979-11-18,M,M,2018-04-05
11380,175,Mitchell Kumar,1979-03-02,S,M,2017-04-13
11381,249,Meredith Raman,1979-08-22,M,F,2016-12-13
11382,189,Edward Patterson,1978-01-19,M,M,2018-05-07
11387,238,Megan Ramirez,1979-06-02,S,F,2017-01-26
11388,279,Joseph Martin,1979-07-24,M,M,2017-01-03
11392,131,Willie Zhao,1990-02-07,S,M,2018-09-30
11394,259,George McDonald,1989-10-23,S,M,2017-01-04
11395,118,Beth Gutierrez,1990-10-18,S,F,2017-05-17
11398,261,Colin Nath,1989-09-09,S,M,2017-01-03
11399,202,Brenda Mehta,1989-08-04,S,F,2018-10-15
11400,251,Franklin Raji,1989-04-19,S,M,2017-01-15
11401,204,Linda Navarro,1989-08-26,M,F,2018-05-01
11402,183,Kelli Cai,1989-11-20,M,F,2018-05-11
11403,179,Nancy Schmidt,1989-01-09,S,F,2018-05-01
11404,133,Megan Taylor,1972-01-01,S,F,2018-08-14
11405,143,Bonnie Goel,1972-02-17,S,F,2018-10-02
11406,199,Latoya Xu,1972-07-03,M,F,2018-05-08
11407,170,Mario She,1972-04-02,M,M,2018-12-25
11408,257,Darren Gill,1973-05-14,M,M,2018-09-06
11409,208,Jacqueline Hayes,1988-03-05,S,F,2018-05-21
11410,201,Maurice Goel,1988-08-25,M,M,2018-05-17
11412,121,Sydney Bryant,1974-04-09,S,F,2017-05-08
11413,238,Megan Stewart,1974-04-15,M,F,2017-02-10
11414,241,Ian Richardson,1974-03-18,S,M,2017-02-13
11416,185,Katrina Becker,1965-03-19,M,F,2018-05-11
11417,222,Lacey Zheng,1965-02-26,M,F,2018-05-08
11419,273,Kyle Scott,1965-02-18,M,M,2018-09-13
11420,189,Jordan Turner,1966-07-12,M,M,2018-05-05
11421,172,Amy Sun,1966-07-19,M,F,2017-05-06
11422,268,Dustin Deng,1966-09-01,M,M,2017-02-22
11423,147,Jasmine Stewart,1974-11-05,M,F,2017-06-12
11424,164,Pamela Garcia,1973-12-07,M,F,2018-10-23
11425,184,Ariana Gray,1974-08-06,M,F,2018-05-26
11426,156,Kristopher Mehta,1973-10-02,M,M,2018-10-11
11427,168,Desiree Dominguez,1973-12-18,M,F,2017-06-22
11428,173,Deanna Perez,1973-08-22,S,F,2017-06-07
11429,218,Marco Lopez,1972-07-16,M,M,2018-06-17
11430,155,Casey Yuan,1972-03-24,M,F,2018-09-20
11431,120,Bryant Garcia,1972-10-27,M,M,2017-06-23
11432,206,Dominique Prasad,1971-09-11,M,F,2018-06-13
11433,224,Maurice Shan,1971-09-02,M,M,2018-06-05
11434,274,Andre Lopez,1971-05-06,M,M,2018-12-17
11436,273,Taylor Cox,1970-09-18,M,F,2018-11-23
11438,162,Jenny Nara,1969-10-14,M,F,2018-08-09
11439,217,Janet Munoz,1968-05-17,M,F,2018-06-02
11440,187,Sergio Weber,1967-09-27,M,M,2018-09-28
11443,31,Grace Griffin,1996-05-22,S,F,2016-12-08
11444,32,Tina Mehta,1996-04-28,M,F,2016-12-02
11445,15,Kari Kim,1994-07-21,S,F,2016-12-07
11446,5,Bethany Chander,1994-08-12,S,F,2016-12-19
11447,25,Jennifer Roberts,1994-08-16,M,F,2016-12-29
11448,35,Kyle Patterson,1995-04-28,S,M,2016-12-17
11449,37,Alvin Hu,1995-02-02,M,M,2016-12-20
11450,28,Brett Mehta,1995-11-12,S,M,2016-12-30
11451,10,Ruben Muñoz,1994-11-09,S,M,2017-01-29
11452,21,Erika Rubio,1993-11-05,S,F,2017-01-11
11453,31,Stanley Malhotra,1993-08-21,S,M,2017-01-15
11454,35,Melinda Navarro,1994-04-22,S,F,2017-01-31
11455,36,Ross Sanz,1994-04-21,M,M,2017-01-01
11456,17,Jon Gao,1994-07-08,M,M,2017-01-17
11457,19,Jaime Gutierrez,1993-05-21,M,F,2017-01-17
11458,16,Bianca Liu,1993-04-05,M,F,2018-10-01
11459,13,Tasha Deng,1992-10-13,S,F,2017-01-27
11460,33,Melvin Chande,1992-10-07,S,M,2017-01-21
11461,6,Victor Jimenez,1992-03-25,S,M,2017-01-31
11462,8,Laura Lin,1992-01-19,M,F,2017-01-16
11463,28,Alisha Beck,1992-03-12,M,F,2018-09-06
11464,38,Alejandro Huang,1991-11-16,M,M,2017-01-22
11465,23,Louis Luo,1991-02-19,M,M,2017-01-14
11466,6,Grant Tang,1991-08-03,M,M,2018-11-23
11468,278,Jaclyn Andersen,1995-06-18,M,F,2017-02-08
11470,177,Jay Suarez,1993-09-25,S,M,2017-07-25
11471,207,Latasha Suarez,1993-09-25,S,F,2018-11-18
11472,24,Kenneth Kumar,1983-04-03,S,M,2017-01-26
11473,221,Grace Henderson,2000-08-02,S,F,2018-12-04
11475,251,Cesar Subram,1998-10-09,S,M,2018-10-25
11478,218,Billy Hernandez,1993-02-25,S,M,2018-10-21
11479,182,Darryl Wu,1993-04-22,M,M,2018-06-08
11480,224,Colleen Ma,1993-03-11,M,F,2018-06-28
11481,156,Erica Hu,1993-05-23,M,F,2017-07-30
11482,272,Adrienne Torres,1992-07-19,S,F,2017-03-11
11483,199,Calvin Chande,1992-05-22,M,M,2018-06-25
11484,171,Erick Sai,1992-03-06,S,M,2017-07-05
11485,237,Donald Chandra,1992-08-07,M,M,2017-03-17
11488,256,Jermaine Lopez,1991-09-21,S,M,2017-04-30
11489,262,Deborah Goel,1991-03-07,S,F,2017-04-30
11490,217,Danny Rubio,1991-01-06,S,M,2018-10-06
11491,255,Andre Perez,1991-04-06,M,M,2017-05-10
11492,115,Terrence Chander,1991-11-19,S,M,2017-08-14
11493,255,Dawn Wu,1990-12-02,S,F,2017-05-17
11494,267,Jimmy Gutierrez,1990-07-28,S,M,2017-06-25
11496,272,Gary Ortega,1990-10-17,S,M,2017-06-02
11498,49,Arturo Sun,1994-01-15,S,M,2018-09-01
11499,311,Pedro Vance,1994-11-14,S,M,2018-10-08
11500,52,Sarah Simmons,1994-09-18,S,F,2018-08-04
11501,49,Brandy Chandra,1995-07-07,S,F,2018-09-28
11502,63,Jared Peterson,1995-03-07,S,M,2018-08-03
11503,312,Dennis Wu,1950-10-13,M,M,2018-11-27
11504,315,Jordan Baker,1951-04-20,M,F,2018-11-02
11505,43,Jasmine Powell,1986-07-07,S,F,2018-08-26
11506,60,Nicholas Brown,1986-05-17,S,M,2018-09-09
11507,69,Isabella Russell,1986-11-20,S,F,2018-08-21
11508,626,Elizabeth Wilson,1986-07-07,S,F,2018-11-03
11510,54,Seth Roberts,1973-07-13,M,M,2018-09-13
11511,543,Caleb Perry,1973-06-14,M,M,2018-09-14
11513,62,Alyssa Howard,1974-09-27,S,F,2018-12-10
11514,642,Dalton Diaz,1974-04-20,M,M,2018-12-26
11515,301,Shannon Huang,1974-02-25,M,F,2017-03-03
11516,310,Mya Gonzales,1974-10-21,M,F,2017-03-18
11517,355,Katherine Bryant,1974-06-20,M,F,2018-12-28
11519,49,Jerome Navarro,1975-03-17,M,M,2018-09-14
11520,60,Jada Morgan,1975-04-11,M,F,2018-08-26
11521,644,Ariana Peterson,1975-12-09,M,F,2018-09-06
11522,546,Christian Hughes,1975-12-23,M,M,2017-03-06
11523,54,Lucas Taylor,1976-08-10,M,M,2018-08-19
11525,543,Ariana Cook,1976-01-09,M,F,2017-03-09
11526,70,Katherine Diaz,1976-08-06,M,F,2018-08-07
11527,361,Jenna Green,1976-06-04,M,F,2018-08-11
11528,325,Joan Washington,1977-08-19,M,F,2017-03-15
11529,547,Austin Bryant,1977-11-16,M,M,2017-03-27
11530,54,Andrew Martinez,1977-07-26,M,M,2018-08-01
11531,300,Nina Yuan,1977-01-07,M,F,2017-03-02
